accident_severity,time,day_of_week,road_surface_type,light_conditions,weather_conditions,type_of_collision,area_accident_occured
2.0,1:59:00,Monday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,18:40:00,Sunday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,15:56:00,Friday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,16:46:00,Thursday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,School areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Collision with roadside objects,Unknown
2.0,15:25:00,Monday,Asphalt roads,Daylight,Cloudy,Collision with roadside objects,Residential areas
2.0,Unknown,Unknown,Other,Darkness - lights lit,Cloudy,Collision with roadside objects,Unknown
2.0,20:00:00,Friday,Other,Darkness - lights lit,Cloudy,Collision with roadside objects,School areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,16:46:00,Thursday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Rollover,Unknown
2.0,16:15:00,Sunday,Asphalt roads,Daylight,Cloudy,Rollover,Office areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Collision with pedestrians,Unknown
2.0,8:05:00,Friday,Asphalt roads,Darkness - lights lit,Cloudy,Collision with pedestrians,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,14:49:00,Monday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,15:20:00,Saturday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision, Church areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,15:20:00,Saturday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Collision with roadside objects,Unknown
2.0,15:16:00,Monday,Asphalt roads,Daylight,Cloudy,Collision with roadside objects,Office areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Unknown,Unknown
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,20:15:00,Monday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Residential areas
2.0,17:44:00,Thursday,Asphalt roads,Darkness - lights lit,Cloudy,,Other
2.0,Unknown,Unknown,Earth roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,13:50:00,Saturday,Earth roads,Daylight,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Collision with pedestrians,Unknown
2.0,1:25:00,Saturday,Asphalt roads,Darkness - lights lit,Cloudy,Collision with pedestrians, Outside rural areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Collision with roadside objects,Unknown
2.0,9:15:00,Tuesday,Asphalt roads,Daylight,Cloudy,Collision with roadside objects,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Rollover,Unknown
2.0,17:40:00,Thursday,Asphalt roads,Darkness - lights lit,Cloudy,Rollover, Church areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,18:09:00,Monday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,8:27:00,Wednesday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,16:45:00,Wednesday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,3:55:00,Monday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision, Industrial areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,12:44:00,Monday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Unknown,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,13:55:00,Saturday,,Daylight,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,20:10:00,Wednesday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,  Recreational areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Unknown
2.0,12:00:00,Saturday,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,18:40:00,Thursday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,13:50:00,Saturday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Other,Daylight,Cloudy,Collision with roadside objects,Unknown
2.0,9:50:00,Tuesday,Other,Daylight,Cloudy,Collision with roadside objects,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Rollover,Unknown
2.0,16:40:00,Tuesday,Asphalt roads,Daylight,Cloudy,Rollover, Outside rural areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,14:00:00,Saturday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Unknown
2.0,22:25:00,Thursday,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,16:17:00,Thursday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,20:00:00,Friday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision, Industrial areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Collision with roadside objects,Unknown
2.0,16:13:00,Wednesday,Asphalt roads,Darkness - lights lit,Cloudy,Collision with roadside objects, Industrial areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,16:13:00,Wednesday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision, Outside rural areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,20:00:00,Friday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,16:45:00,Wednesday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,  Recreational areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,15:25:00,Monday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,15:20:00,Saturday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision, Church areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,17:40:00,Sunday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Office areas
