accident_severity,time,day_of_week,road_surface_type,light_conditions,weather_conditions,type_of_collision,area_accident_occured
2.0,12:59:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,10:27:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,9:30:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,11:29:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,13:09:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,18:45:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Industrial areas
2.0,16:30:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,14:45:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,12:55:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,16:52:00,Sunday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Church areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,17:06:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,18:00:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,9:16:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,11:00:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,14:45:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Church areas
2.0,18:40:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,15:32:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,16:55:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,14:57:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,7:45:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,8:10:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Church areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,15:46:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Outside rural areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,13:54:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Church areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,15:33:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,13:15:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,10:43:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,7:59:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,13:03:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,17:11:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,9:25:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,13:40:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,11:41:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,School areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,9:30:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Church areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,7:30:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Church areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,8:45:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,20:24:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,16:05:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,8:45:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,17:46:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,13:16:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,17:21:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,11:00:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,13:25:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,18:30:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,8:30:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Church areas
2.0,7:40:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,11:35:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,11:15:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,20:08:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,9:45:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,15:40:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,14:00:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,13:10:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Industrial areas
2.0,10:35:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,10:48:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,18:05:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,14:35:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,8:39:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,14:06:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,16:24:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,12:45:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,15:00:00,Sunday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,School areas
2.0,14:13:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,10:04:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Church areas
2.0,16:44:00,Sunday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,13:50:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,17:50:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,15:25:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Church areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,17:50:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,14:57:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,17:00:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,13:25:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,8:22:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,8:49:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,9:28:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,  Recreational areas
2.0,16:00:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,School areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,14:00:00,Sunday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,10:29:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,16:40:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,8:27:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,18:10:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,18:49:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,16:35:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,9:35:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Church areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,10:20:00,Sunday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,School areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,16:30:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,12:53:00,Sunday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,12:47:00,Sunday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,16:47:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,17:10:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,16:55:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,14:57:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,10:35:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,17:25:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Church areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,7:50:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Hospital areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,20:04:00,Sunday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,  Market areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,10:50:00,Sunday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,13:35:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,8:05:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Industrial areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,16:00:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,17:41:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Industrial areas
2.0,7:50:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,11:45:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,  Recreational areas
2.0,16:02:00,Sunday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,8:05:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,18:26:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Church areas
2.0,17:25:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,10:38:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,19:12:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,9:24:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Church areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,15:55:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,10:51:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,12:29:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,  Market areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,7:50:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,19:55:00,Sunday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,17:02:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,10:15:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,8:05:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,7:35:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Industrial areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,15:47:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Industrial areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,9:10:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,19:28:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,School areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,14:20:00,Sunday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Outside rural areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,14:05:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,17:30:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,12:55:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,15:25:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Church areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,5:55:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,9:25:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,17:15:00,Tuesday,Asphalt roads,Darkness - lights lit,Normal,,Office areas
2.0,0:50:00,Saturday,Asphalt roads,Darkness - lights lit,Normal,,Residential areas
2.0,11:00:00,Saturday,Asphalt roads,Daylight,Normal,,Other
2.0,15:00:00,Thursday,Asphalt roads,Daylight,Normal,,Residential areas
2.0,Unknown,Unknown,Earth roads,Daylight,Normal,Collision with pedestrians,Unknown
2.0,7:50:00,Friday,Earth roads,Daylight,Normal,Collision with pedestrians,Office areas
2.0,Unknown,Unknown,Earth roads,Daylight,Normal,Collision with roadside objects,Unknown
2.0,15:25:00,Thursday,Earth roads,Daylight,Normal,Collision with roadside objects,Office areas
2.0,Unknown,Unknown,Earth roads,Daylight,Normal,Collision with roadside objects,Unknown
2.0,17:21:00,Tuesday,Earth roads,Daylight,Normal,Collision with roadside objects,Other
2.0,Unknown,Unknown,Earth roads,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,Unknown
2.0,2:09:00,Friday,Earth roads,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,Office areas
2.0,Unknown,Unknown,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,4:46:00,Tuesday,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other
1.0,Unknown,Unknown,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,16:00:00,Friday,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,12:15:00,Sunday,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other
1.0,Unknown,Unknown,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,13:30:00,Saturday,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,7:25:00,Wednesday,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,17:21:00,Thursday,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,13:16:00,Wednesday,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,11:02:00,Thursday,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Gravel roads,Darkness - lights lit,Normal,Collision with pedestrians,Unknown
2.0,19:15:00,Monday,Gravel roads,Darkness - lights lit,Normal,Collision with pedestrians,Other
2.0,Unknown,Unknown,Gravel roads,Daylight,Normal,Collision with roadside objects,Unknown
2.0,10:20:00,Saturday,Gravel roads,Daylight,Normal,Collision with roadside objects,  Market areas
2.0,Unknown,Unknown,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,19:21:00,Saturday,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,17:11:00,Sunday,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
1.0,Unknown,Unknown,Other,Daylight,Normal,Collision with roadside objects,Unknown
2.0,14:52:00,Tuesday,Other,Daylight,Normal,Collision with roadside objects,Other
2.0,Unknown,Unknown,Unknown,Daylight,Normal,Collision with pedestrians,Unknown
2.0,Unknown,Unknown,Unknown,Daylight,Normal,Collision with roadside objects,Unknown
2.0,Unknown,Unknown,Unknown,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Unknown,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,17:06:00,Thursday,,Daylight,Normal,Collision with pedestrians,Rural village areas
2.0,11:30:00,Saturday,,Daylight,Normal,Collision with roadside objects,Residential areas
2.0,20:05:00,Wednesday,,Darkness - lights lit,Normal,Vehicle with vehicle collision, Church areas
2.0,20:10:00,Monday,,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with pedestrians,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown
1.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,9:47:00,Saturday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision, Industrial areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
